Area Code,Area Name,SOC Code,SOC Title,Employment ,Median,,Mean,,Entry Level,,10th Percentile,,90th Percentile,
000009,Connecticut,17-2171,Petroleum Engineers,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
000009,Connecticut,17-3031,Surveying and Mapping Technicians,410,30.85,"64,165",31.84,"66,221",21.51,"44,736",20.32,"42,264",47.3,"98,381"
000009,Connecticut,17-1022,Surveyors,480,38.16,"79,378",39.88,"82,940",27.39,"56,979",24.49,"50,935",57.59,"119,794"
000009,Connecticut,19-0000,"Life, Physical, and Social Science Occupations","12,040",41.22,"85,733",47.36,"98,506",26.11,"54,289",23.47,"48,817",74.15,"154,228"
000009,Connecticut,19-4012,Agricultural Technicians,20,28.22,"58,703",29.4,"61,143",22.35,"46,491",22.96,"47,758",37.09,"77,145"
000009,Connecticut,19-3091,Anthropologists and Archeologists,90,21.56,"44,840",28.64,"59,565",21.31,"44,331",21.37,"44,455",62.31,"129,597"
000009,Connecticut,19-1021,Biochemists and Biophysicists,370,52.92,"110,085",55.67,"115,806",36.47,"75,868",32.45,"67,498",84.84,"176,472"
000009,Connecticut,19-1029,"Biological Scientists, All Other",350,52.19,"108,558",54.18,"112,670",35.22,"73,262",32.65,"67,914",81.23,"168,943"
000009,Connecticut,19-4021,Biological Technicians,930,29.97,"62,337",31.3,"65,110",22.4,"46,595",22.54,"46,885",41.41,"86,128"
000009,Connecticut,19-4031,Chemical Technicians,600,24.81,"51,589",25.61,"53,251",17.96,"37,363",17.46,"36,314",35.27,"73,345"
000009,Connecticut,19-2031,Chemists,"1,160",47.77,"99,358",49.9,"103,781",29.22,"60,780",24.66,"51,309",83.09,"172,816"
000009,Connecticut,19-3033,Clinical and Counseling Psychologists,530,50.92,"105,920",56.05,"116,596",35.57,"73,968",31.59,"65,702",81.26,"169,026"
000009,Connecticut,19-1031,Conservation Scientists,100,32.94,"68,516",41.25,"85,806",28.59,"59,461",25.3,"52,607",60.96,"126,793"
000009,Connecticut,19-3011,Economists,160,49.51,"102,982",54.39,"113,138",37.91,"78,859",33.8,"70,302",81.09,"168,673"
